# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2011
#
 #    World Rank                   ,  Institution                   ,  Country                       
   22  ,  University of Hong Kong  , Hong Kong    
   25  ,  University of Tokyo  , Japan    
   28  ,  National University of Singapore  , Singapore    
   32  ,  Kyoto University  , Japan    
   37  ,  Chinese University of Hong Kong  , Hong Kong    
   40  ,  Hong Kong University of Science and Technology  , Hong Kong    
   42  ,  Seoul National University  , South Korea    
   45  ,  Osaka University  , Japan    
   46  ,  Peking University  , China    
   47  ,  Tsinghua University  , China    
   57  ,  Tokyo Institute of Technology  , Japan    
   58  ,  Nanyang Technological University  , Singapore    
   70  ,  Tohoku University  , Japan    
   80  ,  Nagoya University  , Japan    
   87  ,  National Taiwan University  , Taiwan    
   90  ,  Korea Advanced Institute of Science and Technology  , South Korea    
   91  ,  Fudan University  , China    
   98  ,  Pohang University of Science and Technology  , South Korea    
   110  ,  City University of Hong Kong  , Hong Kong    
   122  ,  Kyushu University  , Japan    
   124  ,  Shanghai Jiao Tong University  , China    
   129  ,  Yonsei University  , South Korea    
   139  ,  Hokkaido University  , Japan    
   167  ,  University of Malaya  , Malaysia    
   171  ,  Chulalongkorn University  , Thailand    
   177  ,  Hong Kong Polytechnic University  , Hong Kong    
   185  ,  Waseda University  , Japan    
   186  ,  Nanjing University  , China    
   186  ,  Tsukuba University  , Japan    
   188  ,  University of Science and Technology of China  , China    
   188  ,  Keio University  , Japan    
   190  ,  Korea University  , South Korea    
   191  ,  Zhejiang University  , China    
   213  ,  National Tsinghua University  , Taiwan    
   217  ,  University of Indonesia  , Indonesia    
   218  ,  Indian Institute of Technology - Delhi  , India    
   225  ,  Indian Institute of Technology - Bombay  , India    
   229  ,  Mahidol University  , Thailand    
   243  ,  Hong Kong Baptist University  , Hong Kong    
   245  ,  Kyung Hee University  , South Korea    
   247  ,  Kobe University  , Japan    
   249  ,  Hiroshima University  , Japan    
   259  ,  Sungkyunkwan University  , South Korea    
   265  ,  Tokyo University of Science  , Japan    
   279  ,  National University of Malaysia  , Malaysia    
   281  ,  Indian Institute of Technology - Madras  , India    
   282  ,  Tokyo Medical and Dental University  , Japan    
   285  ,  National Cheng Kung University  , Taiwan    
   300  ,  Beijing Normal University  , China    
   302  ,  National Yang-Ming University  , Taiwan    
   306  ,  Indian Institute of Technology - Kanpur  , India    
   306  ,  National Chiao Tung University  , Taiwan    
   314  ,  Hanyang University  , South Korea    
   323  ,  Chiba University  , Japan    
   332  ,  University of the Philippines Manila  , Philippines    
   335  ,  University of Science - Malaysia  , Malaysia    
   341  ,  Indian Institute of Technology - Kharagpur  , India    
   342  ,  Gadjah Mada University  , Indonesia    
   344  ,  Ewha Womans University  , South Korea    
   358  ,  University of Putra Malaysia  , Malaysia    
   360  ,  Ateneo de Manila University  , Philippines    
   373  ,  Taipei Medical University  , Taiwan    
   382  ,  Xi&rsquo;an Jiaotong University  , China    
   392  ,  Sogang University  , South Korea    
   398  ,  University of Delhi  , India    
   401-450  ,  Nankai University  , China    
   401-450  ,  Renmin University of China  , China    
   401-450  ,  Tianjin University  , China    
   401-450  ,  Tongji University  , China    
   401-450  ,  Indian Institute of Technology - Roorkee  , India    
   401-450  ,  Kanazawa University  , Japan    
   401-450  ,  Nagasaki University  , Japan    
   401-450  ,  Okayama University  , Japan    
   401-450  ,  Tokyo Metropolitan University  , Japan    
   401-450  ,  Yokohama City University  , Japan    
   401-450  ,  Pusan National University  , South Korea    
   401-450  ,  University of Technology - Malaysia  , Malaysia    
   401-450  ,  National Central University  , Taiwan    
   401-450  ,  National Sun Yat-Sen University  , Taiwan    
   401-450  ,  National Taiwan University of Science and Technology  , Taiwan    
   451-500  ,  Shanghai University  , China    
   451-500  ,  Wuhan University  , China    
   451-500  ,  Institute of Technology Bandung  , Indonesia    
   451-500  ,  Gifu University  , Japan    
   451-500  ,  Kumamoto University  , Japan    
   451-500  ,  Osaka City University  , Japan    
   451-500  ,  Inha University  , South Korea    
   451-500  ,  International Islamic University Malaysia  , Malaysia    
   451-500  ,  National Taiwan Normal University  , Taiwan    
   451-500  ,  Sun Yat-Sen University  , China    
