# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2016
#
 #    World Rank                   ,  Institution                   ,  Country                       
   12  ,  National University of Singapore  , Singapore    
   13  ,  Nanyang Technological University  , Singapore    
   25  ,  Tsinghua University  , China    
   28  ,  Hong Kong University of Science and Technology  , Hong Kong    
   30  ,  University of Hong Kong  , Hong Kong    
   36  ,  Seoul National University  , South Korea    
   38  ,  Kyoto University  , Japan    
   39  ,  The University of Tokyo  , Japan    
   41  ,  Peking University  , China    
   43  ,  Korea Advanced Institute of Science and Technology  , South Korea    
   51  ,  Fudan University  , China    
   51  ,  Chinese University of Hong Kong  , Hong Kong    
   56  ,  Tokyo Institute of Technology  , Japan    
   57  ,  City University of Hong Kong  , Hong Kong    
   58  ,  Osaka University  , Japan    
   70  ,  Shanghai Jiao Tong University  , China    
   70  ,  National Taiwan University  , Taiwan    
   74  ,  Tohoku University  , Japan    
   87  ,  Pohang University of Science and Technology  , South Korea    
   104  ,  Korea University  , South Korea    
   105  ,  Yonsei University  , South Korea    
   110  ,  Zhejiang University  , China    
   113  ,  University of Science and Technology of China  , China    
   116  ,  Hong Kong Polytechnic University  , Hong Kong    
   118  ,  Sungkyunkwan University  , South Korea    
   120  ,  Nagoya University  , Japan    
   130  ,  Nanjing University  , China    
   139  ,  Hokkaido University  , Japan    
   142  ,  Kyushu University  , Japan    
   146  ,  University of Malaya  , Malaysia    
   147  ,  Indian Institute of Science  , India    
   155  ,  National Tsinghua University  , Taiwan    
   179  ,  Indian Institute of Technology - Delhi  , India    
   182  ,  National Chiao Tung University  , Taiwan    
   193  ,  Hanyang University  , South Korea    
   202  ,  Indian Institute of Technology - Bombay  , India    
   212  ,  Waseda University  , Japan    
   219  ,  Keio University  , Japan    
   219  ,  Tsukuba University  , Japan    
   224  ,  National Cheng Kung University  , Taiwan    
   232  ,  Beijing Normal University  , China    
   253  ,  Chulalongkorn University  , Thailand    
   254  ,  Indian Institute of Technology - Madras  , India    
   260  ,  National Taiwan University of Science and Technology  , Taiwan    
   271  ,  Indian Institute of Technology - Kanpur  , India    
   273  ,  Wuhan University  , China    
   277  ,  Nankai University  , China    
   281  ,  Hong Kong Baptist University  , Hong Kong    
   286  ,  Indian Institute of Technology - Kharagpur  , India    
   289  ,  University of Science - Malaysia  , Malaysia    
   291  ,  Harbin Institute of Technology  , China    
   295  ,  Kyung Hee University  , South Korea    
   295  ,  Mahidol University  , Thailand    
   303  ,  University of Technology - Malaysia  , Malaysia    
   307  ,  Sun Yat-Sen University  , China    
   312  ,  National University of Malaysia  , Malaysia    
   331  ,  Xi&rsquo;an Jiaotong University  , China    
   331  ,  University of Putra Malaysia  , Malaysia    
   338  ,  National Yang-Ming University  , Taiwan    
   345  ,  Tongji University  , China    
   348  ,  Hiroshima University  , Japan    
   354  ,  Ewha Womans University  , South Korea    
   358  ,  University of Indonesia  , Indonesia    
   361  ,  Kobe University  , Japan    
   376  ,  National Taiwan Normal University  , Taiwan    
   379  ,  National Sun Yat-Sen University  , Taiwan    
   381  ,  Beihang University  , China    
   391  ,  Indian Institute of Technology - Roorkee  , India    
   391  ,  Tokyo Medical and Dental University  , Japan    
   397  ,  National Central University  , Taiwan    
   401-410  ,  Beijing Institute of Technology  , China    
   401-410  ,  Xiamen University  , China    
   401-410  ,  University of the Philippines Manila  , Philippines    
   411-420  ,  Shanghai University  , China    
   421-430  ,  Tianjin University  , China    
   421-430  ,  Sogang University  , South Korea    
   421-430  ,  Taipei Medical University  , Taiwan    
   431-440  ,  Institute of Technology Bandung  , Indonesia    
