# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2020
#
 #    World Rank                   ,  Institution                   ,  Country                       
   11  ,  Nanyang Technological University  , Singapore    
   11  ,  National University of Singapore  , Singapore    
   16  ,  Tsinghua University  , China    
   22  ,  Peking University  , China    
   22  ,  The University of Tokyo  , Japan    
   25  ,  University of Hong Kong  , Hong Kong    
   32  ,  Hong Kong University of Science and Technology  , Hong Kong    
   33  ,  Kyoto University  , Japan    
   37  ,  Seoul National University  , South Korea    
   40  ,  Fudan University  , China    
   41  ,  Korea Advanced Institute of Science and Technology  , South Korea    
   46  ,  Chinese University of Hong Kong  , Hong Kong    
   52  ,  City University of Hong Kong  , Hong Kong    
   54  ,  Zhejiang University  , China    
   58  ,  Tokyo Institute of Technology  , Japan    
   60  ,  Shanghai Jiao Tong University  , China    
   69  ,  National Taiwan University  , Taiwan    
   70  ,  University of Malaya  , Malaysia    
   71  ,  Osaka University  , Japan    
   82  ,  Tohoku University  , Japan    
   83  ,  Korea University  , South Korea    
   87  ,  Pohang University of Science and Technology  , South Korea    
   89  ,  University of Science and Technology of China  , China    
   91  ,  Hong Kong Polytechnic University  , Hong Kong    
   95  ,  Sungkyunkwan University  , South Korea    
   104  ,  Yonsei University  , South Korea    
   115  ,  Nagoya University  , Japan    
   120  ,  Nanjing University  , China    
   132  ,  Hokkaido University  , Japan    
   132  ,  Kyushu University  , Japan    
   150  ,  Hanyang University  , South Korea    
   152  ,  Indian Institute of Technology - Bombay  , India    
   159  ,  University of Putra Malaysia  , Malaysia    
   160  ,  National University of Malaysia  , Malaysia    
   165  ,  University of Science - Malaysia  , Malaysia    
   173  ,  National Tsinghua University  , Taiwan    
   182  ,  Indian Institute of Technology - Delhi  , India    
   184  ,  Indian Institute of Science  , India    
   196  ,  Waseda University  , Japan    
   200  ,  Keio University  , Japan    
   217  ,  University of Technology - Malaysia  , Malaysia    
   225  ,  National Cheng Kung University  , Taiwan    
   227  ,  National Chiao Tung University  , Taiwan    
   247  ,  Kyung Hee University  , South Korea    
   247  ,  Chulalongkorn University  , Thailand    
   251  ,  National Taiwan University of Science and Technology  , Taiwan    
   257  ,  Wuhan University  , China    
   261  ,  Hong Kong Baptist University  , Hong Kong    
   265  ,  Tongji University  , China    
   270  ,  Tsukuba University  , Japan    
   271  ,  Indian Institute of Technology - Madras  , India    
   277  ,  Beijing Normal University  , China    
   277  ,  Harbin Institute of Technology  , China    
   281  ,  Indian Institute of Technology - Kharagpur  , India    
   287  ,  National Yang-Ming University  , Taiwan    
   287  ,  Sun Yat-Sen University  , China    
   291  ,  Indian Institute of Technology - Kanpur  , India    
   296  ,  University of Indonesia  , Indonesia    
   307  ,  Xi&rsquo;an Jiaotong University  , China    
   314  ,  Mahidol University  , Thailand    
   320  ,  Gadjah Mada University  , Indonesia    
   322  ,  Gwangju Institute of Science and Technology  , South Korea    
   331  ,  Institute of Technology Bandung  , Indonesia    
   331  ,  Ewha Womans University  , South Korea    
   331  ,  National Taiwan Normal University  , Taiwan    
   334  ,  Hiroshima University  , Japan    
   356  ,  University of the Philippines Manila  , Philippines    
   359  ,  Tokyo Medical and Dental University  , Japan    
   368  ,  Nankai University  , China    
   379  ,  Taipei Medical University  , Taiwan    
   383  ,  Indian Institute of Technology - Roorkee  , India    
   395  ,  Kobe University  , Japan    
   400  ,  Huazhong University of Science and Technology  , China    
   407  ,  Sharif University of Technology  , Iran    
   407  ,  Hankuk University of Foreign Studies  , South Korea    
   410  ,  National Sun Yat-Sen University  , Taiwan    
   412  ,  Shanghai University  , China    
   412  ,  Chung-Ang University  , South Korea    
   427  ,  National Central University  , Taiwan    
   429  ,  Tianjin University  , China    
   436  ,  Beijing Institute of Technology  , China    
   442  ,  Chiba University  , Japan    
   442  ,  UCSI University  , Malaysia    
   448  ,  Hitotsubashi University  , Japan    
   451  ,  Xiamen University  , China    
   454  ,  Dongguk University  , South Korea    
   454  ,  Sogang University  , South Korea    
   462  ,  Beihang University  , China    
   462  ,  University of Science and Technology Beijing  , China    
   462  ,  Catholic University of Korea  , South Korea    
   468  ,  Shandong University  , China    
   468  ,  Yokohama City University  , Japan    
   474  ,  University of Delhi  , India    
   477  ,  Singapore Management University  , Singapore    
   480  ,  South China University of Technology  , China    
   482  ,  University of Technology - Petronas  , Malaysia    
   484  ,  Jilin University  , China    
   484  ,  Chang Gung University  , Taiwan    
   489  ,  Amirkabir University of Technology  , Iran    
   491  ,  Indian Institute of Technology - Guwahati  , India    
   501-510  ,  Southeast University  , China    
   511-520  ,  Ulsan University  , South Korea    
   511-520  ,  National Taipei University of Technology  , Taiwan    
   511-520  ,  Taylor&rsquo;s University  , Malaysia    
   521-530  ,  Inha University  , South Korea    
   521-530  ,  Pusan National University  , South Korea    
   531-540  ,  East China Normal University  , China    
   531-540  ,  Renmin University of China  , China    
   531-540  ,  Kumamoto University  , Japan    
   531-540  ,  Nagasaki University  , Japan    
   541-550  ,  Management and Science University  , Malaysia    
   551-560  ,  East China University of Science and Technology  , China    
   551-560  ,  Osaka City University  , Japan    
   551-560  ,  Hallym University  , South Korea    
   551-560  ,  National Chengchi University  , Taiwan    
   561-570  ,  Okayama University  , Japan    
   571-580  ,  Dalian University of Technology  , China    
   571-580  ,  Chonbuk National University  , South Korea    
   571-580  ,  Konkuk University  , South Korea    
   581-590  ,  Kanazawa University  , Japan    
   591-600  ,  Lingnan University  , Hong Kong    
   591-600  ,  University of Utara Malaysia  , Malaysia    
   601-650  ,  Sichuan University  , China    
   601-650  ,  Bogor Agricultural University  , Indonesia    
   601-650  ,  Iran University of Science and Technology Tehran  , Iran    
   601-650  ,  University of Tehran  , Iran    
   601-650  ,  Gifu University  , Japan    
   601-650  ,  Niigata University  , Japan    
   601-650  ,  Tokyo Metropolitan University  , Japan    
   601-650  ,  Tokyo University of Agriculture and Technology  , Japan    
   601-650  ,  Ajou University  , South Korea    
   601-650  ,  Kyungpook National University  , South Korea    
   601-650  ,  Ateneo de Manila University  , Philippines    
   601-650  ,  Chiang Mai University  , Thailand    
   601-650  ,  Thammasat University  , Thailand    
   651-700  ,  China Agricultural University  , China    
   651-700  ,  Airlangga University  , Indonesia    
   651-700  ,  Jadavpur University  , India    
   651-700  ,  Kagoshima University  , Japan    
   651-700  ,  Osaka Prefecture University  , Japan    
   651-700  ,  Sejong University  , South Korea    
   651-700  ,  Seoul University  , South Korea    
   651-700  ,  International Islamic University Malaysia  , Malaysia    
   651-700  ,  University of Technology - Mara  , Malaysia    
   651-700  ,  National Chung Hsing University - Taipei  , Taiwan    
   651-700  ,  Kaohsiung Medical University  , Taiwan    
   701-750  ,  Beijing University of Technology  , China    
   701-750  ,  Central South University  , China    
   701-750  ,  Hunan University  , China    
   701-750  ,  Shenzhen University  , China    
   701-750  ,  Manipal University  , India    
   701-750  ,  Yamaguchi University  , Japan    
   701-750  ,  Chonnam National University  , South Korea    
   701-750  ,  Chungnam National University  , South Korea    
   701-750  ,  Dankook University  , South Korea    
   701-750  ,  University of Malaysia Perlis  , Malaysia    
   701-750  ,  Beijing Jiaotong University  , China    
   751-800  ,  Chongqing University  , China    
   751-800  ,  Lanzhou University  , China    
   751-800  ,  Padjadjaran University  , Indonesia    
   751-800  ,  Anna University  , India    
   751-800  ,  Jamia Millia Islamia University  , India    
   751-800  ,  Gunma University  , Japan    
   751-800  ,  Shinshu University  , Japan    
